name	commit	commit_date	branch	origin
BaroFloorHeight	4158e69b1b3d	2024-06-09	master	https://github.com/oseiskar/BaroFloorHeight.git
ESPresense	bd11f5391338	2026-07-21	main	https://github.com/ESPresense/ESPresense.git
HOV-SG	d6e65a53c8be	2026-01-19	main	https://github.com/hovsg/HOV-SG.git
LoRaMesher	cba4e4d135e6	2026-06-11	main	https://github.com/LoRaMesher/LoRaMesher.git
MeshCore	a3a1aa5e3be3	2026-07-19	main	https://github.com/meshcore-dev/MeshCore.git
NUFR-M3F	e23b8e44f63b	2023-12-22	main	https://github.com/neufieldrobotics/NUFR-M3F.git
NavCogAndroid	87f6ed2b353e	2024-01-05	main	https://github.com/hulop/NavCogAndroid.git
PALMS	65c7525cd949	2026-02-23	main	https://github.com/Head-inthe-Cloud/PALMS-Plane-based-Accessible-Indoor-Localization-Using-Mobile-Smartphones.git
RadioLib	0795caa41c63	2026-07-20	master	https://github.com/jgromes/RadioLib.git
Reticulum	122f17fad69a	2026-07-20	master	https://github.com/markqvist/Reticulum.git
SLABIM	d4cfc0b527e9	2025-03-26	main	https://github.com/HKUST-Aerial-Robotics/SLABIM.git
anyplace	722955182375	2022-08-06	master	https://github.com/dmsl/anyplace.git
awesome-meshcore	fa193b7395ca	2026-07-12	main	https://github.com/samuk/awesome-meshcore.git
awesome-reticulum	a7e938147871	2026-07-19	main	https://github.com/lorien/awesome-reticulum.git
bermuda	cd46d17e8469	2026-07-22	main	https://github.com/agittins/bermuda.git
bitchat	733098bb633e	2026-07-10	main	https://github.com/permissionlesstech/bitchat.git
bitchat-android	b7f0b33d3a26	2026-06-25	main	https://github.com/permissionlesstech/bitchat-android.git
blelocpp	72b4bd3b32af	2024-01-05	master	https://github.com/hulop/blelocpp.git
colorado-mesh-client	d44d55eb07d0	2026-07-21	main	https://github.com/Colorado-Mesh/mesh-client.git
columba	a19b2c2a1a7c	2026-07-16	main	https://github.com/torlando-tech/columba.git
expo-bitchat	38df0c9f40a6	2025-07-14	main	https://github.com/quiint/expo-bitchat.git
find3	5964026678a3	2020-07-15	master	https://github.com/schollz/find3.git
hdl_graph_slam	95b8dce41c10	2024-07-16	master	https://github.com/koide3/hdl_graph_slam.git
hilti-slam-2026	79b70b6d3623	2026-07-08	main	https://github.com/Hilti-Research/hilti-trimble-slam-challenge-2026.git
iNavigate	feb4418fce80	2021-03-19	multi_floor	https://github.com/Coughlan-Lab/iNavigate.git
indoor-positioning	4fb94fc17606	2021-04-05	main	https://github.com/Montvydas/indoor-positioning.git
lidar_situational_graphs	35dd3561730a	2026-07-06	feature/multi_floor	https://github.com/snt-arg/lidar_situational_graphs.git
mCELindoorLoc	ea17e54fdfad	2022-07-06	master	https://github.com/laskama/mCELindoorLoc.git
meshcore-ha	1ee608a3f065	2026-07-21	main	https://github.com/meshcore-dev/meshcore-ha.git
meshcore-open	0fe250230905	2026-07-09	dev	https://github.com/zjs81/meshcore-open.git
meshcore-packet-capture	4ef2f4cca25f	2026-07-15	main	https://github.com/agessaman/meshcore-packet-capture.git
meshtastic-firmware	f90c1340de20	2026-07-22	develop	https://github.com/meshtastic/firmware.git
navigine-algorithms	67e11c4d398a	2025-07-22	master	https://github.com/Navigine/Indoor-Positioning-And-Navigation-Algorithms.git
openindoor6	5b776e1d9c2c	2022-05-27	main	https://github.com/open-indoor/openindoor6.git
room-assistant	ed9a860e8ca2	2022-03-20	main	https://github.com/mKeRix/room-assistant.git
weshnet	d735e1d4f723	2026-06-05	main	https://github.com/berty/weshnet.git
